Name|Vo|Distance(1E3km)|Radius(km)|Mass(kg)|Density(g/cm3)|Escape(km/s)|Albedo|O. Per.(days)|Incl.|Tilt|Eccen.|R. Period(days)|M.O.V.(km/s)|Num|Orbits|Date|Discoverer|
Name of the planet or satellite|Objects visible magnitude at opposition|Distance to the Sun or to the planet center|Radius|Mass|Density|Escape Velocity|Visual geometric albedo|Orbital period|Orbital inclination in degrees|Tilt of Axis or obliquity in degrees|Orbital Eccentricity|Siderial rotational|Mean Orbital Velocity|Num|Sun or planet about which it orbits|Date of discovery|Discoverer|
Sun|-26.8|0|695000|1.989e+30|1.410|618.02|-|-|-|?|-|25-36|?|-|-|-|-|
Mercury|-1.9|57,910|2439.7|3.303e+23|5.42|4.2507|0.10|87.969|7.004|0.00|0.2056|58.6462|47.87|I|Sun|-|-|
Venus|-4.4|108,200|6051.8|4.869e+24|5.25|10.362|0.65|224.701|3.394|177.36|0.0068|-243.0187|35.02|II|Sun|-|-|
Earth|-|149,600|6378.14|5.976e+24|5.515|11.182|0.37|365.256|0.000|23.45|0.0167|0.99727|29.79|III|Sun|-|-|
Moon|-12.74|384.4|1737.4|7.349e+22|3.34|2.3760|0.12|27.32166|5.1454|1.5424|0.05|27.32166|1.02|I|Earth|-|-|
Mars|-2.01|227,940|3397.2|6.421e+23|3.94|5.0225|0.15|686.98|1.850|25.19|0.0934|1.025957|24.13|IV|Sun|-|-|
Phobos|11.3|9.380|13.5x10.8x9.4|1.08e+16|2.0|0.0103|0.06|0.31910|1.0|?|0.01|0.31910|2.14|I|Mars|1877|Asaph Hall|
Deimos|12.40|23.46|7.5x6.1x5.5|1.8e+15|1.7|0.0057|0.07|1.26244|0.9-2.7|?|0.00|1.26244|1.35|II|Mars|1877|Asaph Hall|
Jupiter|-2.70|778,330|71492|1.9e+27|1.33|59.556|0.52|4332.71|1.308|3.13|0.0483|0.41354|13.06|V|Sun|-|-|
Metis|17.5|127.969|20|9.56e+16|2.8|0.0253|0.05|0.294779|0.0000|?|0.0000|?|31.57|XVI|Jupiter|1979|Stephen Synnott|
Adrastea|19.1|128.971|12.5x10x7.5|1.91e+16|4.5|0.0143|0.05|0.298260|0.0000|?|0.0000|?|31.45|XV|Jupiter|1979|D. Jewitt & E. Danielson|
Amalthea|14.1|181.30|135x84x75|7.17e+18|1.8|0.0842|0.05|0.498179|0.40|?|0.003|0.498179|26.47|V|Jupiter|1892|Edward Emerson Barnard|
Thebe|15.7|221.895|55x45|7.77e+17|1.5|0.0434|0.05|0.674536|1.0659|?|0.0183|0.674536|23.92|XIV|Jupiter|1979|Stephen Synnott|
Io|5.02|421.60|1815|8.94e+22|3.55|2.5639|0.61|1.769138|0.040|?|0.004|1.769138|17.33|I|Jupiter|1610|Simon Marius & Galileo Galilei|
Europa|5.29|670.90|1569|4.8e+22|3.01|2.0206|0.64|3.551181|0.470|?|0.009|3.551181|13.74|II|Jupiter|1610|Simon Marius & Galileo Galilei|
Ganymede|4.61|1,070|2631|1.48e+23|1.94|2.7400|0.42|7.154553|0.195|?|0.002|7.154553|10.88|III|Jupiter|1610|Simon Marius & Galileo Galilei|
Callisto|5.65|1,883|2403|1.08e+23|1.86|2.4507|0.19|16.68902|0.281|?|0.007|16.68902|8.21|IV|Jupiter|1610|Simon Marius & Galileo Galilei|
Leda|20.2|11,094|8|5.68e+15|2.7|0.0097|?|238.72|26.07|?|0.1476|?|3.38|XIII|Jupiter|1974|C. Kowal|
Himalia|14.84|11,480|93|9.56e+18|2.8|0.1171|0.03|250.5662|27.63|?|0.1580|0.4|3.33|VI|Jupiter|1904|C. Perrine|
Lysithea|18.4|11,720|18|7.77e+16|3.1|0.0240|?|259.22|29.02|?|0.107|?|3.29|X|Jupiter|1938|S. Nicholson|
Elara|16.77|11,737|38|7.77e+17|3.3|0.0522|0.03|259.6528|24.77|?|0.2072|0.5|3.29|VII|Jupiter|1905|C. Perrine|
Ananke|18.9|21,200|15|3.82e+16|2.7|0.0184|?|-631|147|?|0.1687|?|-2.44|XII|Jupiter|1951|S. Nicholson|
Carme|18.0|22,600|20|9.56e+16|2.8|0.0253|?|-692|163|?|0.2068|?|-2.38|XI|Jupiter|1938|S. Nicholson|
Pasiphae|17.03|23,500|25|1.91e+17|2.9|0.0319|?|-735|147|?|0.378|?|-2.33|VIII|Jupiter|1908|P. Melotte|
Sinope|18.3|23,700|18|7.77e+16|3.1|0.0240|?|-758|153|?|0.275|?|-2.27|IX|Jupiter|1914|S. Nicholson|
Saturn|0.67|1,429,400|60268|5.688e+26|0.69|35.490|0.47|10759.50|2.488|25.33|0.0560|0.44401|9.66|VI|Sun|-|-|
Pan|?|133.583|9.655|?|?|?|0.5|0.5750|0.0|?|0.00|?|16.89|XVIII|Saturn|1990|Mark R. Showalter|
Atlas|18.0|137.64|20x15|?|?|?|0.9|0.6019|0.0|?|0.000|?|16.63|XV|Saturn|1980|R. Terrile|
Prometheus|15.8|139.35|72.5x42.5x32.5|2.7e+17|0.7*|0.0223|0.6|0.6130|0.0|?|0.003|?|16.53|XVI|Saturn|1980|S. Collins & others|
Pandora|16.5|141.70|57x42x31|2.2e+17|0.7*|0.0227|0.9|0.6285|0.0|?|0.004|?|16.40|XVII|Saturn|1980|S. Collins & others|
Epimetheus|15.7|151.422|72x54x49|5.6e+17|0.7*|0.0322|0.8|0.6942|0.34|?|0.009|0.6942|15.86|XI|Saturn|1980|R. Walker|
Janus|14.5|151.472|98x96x75|2.01e+18|0.67*|0.0523|0.8|0.6945|0.14|?|0.007|0.6945|15.86|X|Saturn|1966|Audouin Dollfus|
Mimas|12.9|185.52|196|3.8e+19|1.17|0.1609|0.5|0.942422|1.53|?|0.0202|0.942422|14.32|I|Saturn|1789|William Herschel|
Enceladus|11.7|238.02|250|8.4e+19|1.24|0.2118|0.99|1.370218|0.02|?|0.0045|1.370218|12.63|II|Saturn|1789|William Herschel|
Tethys|10.2|294.66|530|7.55e+20|1.21|0.4360|0.9|1.887802|1.09|?|0.0000|1.887802|11.35|III|Saturn|1684|Giovanni Domenico Cassini|
Telesto|18.7|294.66|17x14x13|?|?|?|0.5|1.8878|0.0|?|0.00|?|11.35|XIII|Saturn|1980|B. Smith & others|
Calypso|18.0|294.66|17x11x11|?|?|?|0.6|1.8878|0.0|?|0.00|?|11.35|XIV|Saturn|1980|B. Smith & others|
Dione|10.4|377.4|560|1.05e+21|1.43|0.5002|0.7|2.736915|0.02|?|0.0022|2.736915|10.03|IV|Saturn|1684|Giovanni Domenico Cassini|
Helene|18.5|377.40|18x16x15|?|?|?|0.7|2.7369|0.2|?|0.005|?|10.03|XII|Saturn|1980|P. Laques & J. Lecacheus|
Rhea|9.7|527.04|765|2.49e+21|1.33|0.6591|0.7|4.517500|0.35|?|0.0010|4.517500|8.48|V|Saturn|1672|Giovanni Domenico Cassini|
Titan|8.28|1,221.85|2575|1.35e+23|1.88|2.6452|0.21|15.94542|0.33|?|0.0292|15.94542|5.57|VI|Saturn|1655|Christiaan Huygens|
Hyperion|14.19|1,481.0|205x130x110|1.77e+19|1.4|0.1073|0.3|21.27661|0.43|?|0.1042|chaotic|5.06|VII|Saturn|1848|William Cranch Bond|
Iapetus|10.2-11.9|3,561.3|730|1.88e+21|1.21|0.5863|0.2|79.33018|14.72|?|0.0283|79.33018|3.26|VIII|Saturn|1671|Giovanni Domenico Cassini|
Phoebe|16.45|12,952|110|4e+18|0.7|0.0697|0.06|-550.48|175.3|?|0.1633|0.4|-1.71|IX|Saturn|1898|William Henry Pickering|
